-Infinity,NaN
-7.883981634,-33.33833383
-7.853981634,-39189468196
-7.823981634,33.33833389
-7.068583471,1.414213563
-6.333185307,1.001251303
-6.313185307,1.000450169
-6.283185307,1.0
-6.253185307,1.000450169
-6.233185307,1.001251303
-5.75166,1.160045741
-5.72725,1.177291625
-5.72166,1.181413199
-5.69725,1.20019888
-5.69166,1.204687064
-5.68438,1.210639683
-5.66725,1.225139686
-5.65438,1.236505431
-5.62438,1.26466353
-5.59786,1.291633892
-5.56786,1.324713995
-5.53786,1.360789874
-5.497787144,1.414213562
-4.74238,33.34831355
-4.74238898,333.3338761
-4.71238898,-2599497068
-4.68238898,-33.33833343
-4.28117,-2.392467533
-4.25117,-2.246988796
-4.22117,-2.119986645
-4.07615,-1.683007189
-4.04615,-1.618034919
-4.01615,-1.559243736
-3.926990817,-1.414213562
-3.88359,-1.356630661
-3.85359,-1.320902014
-3.82359,-1.288136487
-3.78974,-1.254384651
-3.75974,-1.227063851
-3.72974,-1.201966422
-3.191592654,-1.001251303
-3.171592654,-1.000450169
-3.141592654,-1.0
-3.111592654,-1.000450169
-3.091592654,-1.001251303
-2.3737,-1.390093497
-2.35619449,-1.414213563
-2.3437,-1.432219744
-2.3137,-1.478351019
-2.26704,-1.559234982
-2.23704,-1.618025261
-2.20704,-1.682996497
-2.06202,-2.119968048
-2.03202,-2.246967578
-2.00202,-2.392443131
-1.720796327,-6.691732439
-1.660796327,-11.12612527
-1.600796327,-33.33833363
-1.570796327,4875588903
-1.540796327,33.33833409
-1.480796327,11.12612532
-1.420796327,6.691732457
-0.85593,1.525514671
-0.82593,1.475201401
-0.79593,1.429346195
-0.785398163,1.414213562
-0.74533,1.360795767
-0.71763,1.327375439
-0.71533,1.324719396
-0.68763,1.294075499
-0.68763,1.294075499
-0.68533,1.291638848
-0.658818,1.264675958
-0.65763,1.263514714
-0.628818,1.236516846
-0.598818,1.210650169
-0.09,1.004063714
-0.03,1.000450169
0.0,1.0
0.03,1.000450169
0.09,1.004063714
0.78539816339,1.41421356237
1.480796327,11.12612532
1.540796327,33.3383338584
1.570796327,4875588903
1.600796327,-33.3383338584
1.660796327,-11.12612527
3.051592654,-1.004063714
3.1115926,-1.00045016881
3.141592654,-1.0
3.171592654,-1.00045016881
3.231592654,-1.004063714
4.62238898,-11.126125251
4.71238898,2599497068
4.80238898,11.126125251
Infinity,NaN

