-Infinity,NaN
-7.883981634,-0.999550034
-7.853981634,-1
-7.823981634,-0.999550034
-7.068583471,-0.707106781
-6.333185307,-0.049979169
-6.313185307,-0.029995500
-6.283185307,0
-6.253185307,0.029995500
-6.233185307,0.049979169
-5.75166,0.506848798
-5.72725,0.527737988
-5.72166,0.532477904
-5.69725,0.552978918
-5.69166,0.557627815
-5.68438,0.563656048
-5.66725,0.577722204
-5.65438,0.588178993
-5.62438,0.612172617
-5.59786,0.632924902
-5.56786,0.655863019
-5.53786,0.678210904
-5.497787144,0.707106781
-4.74238,0.999550303
-4.71538898,0.999550034
-4.71238898,1
-4.68238898,0.999550034
-4.28117,0.908456917
-4.25117,0.895510668
-4.22117,0.881758519
-4.07615,0.804336143
-4.04615,0.786151657
-4.01615,0.767259687
-3.926990817,0.707106781
-3.88359,0.675761543
-3.85359,0.653347181
-3.82359,0.630344851
-3.78974,0.603710500
-3.75974,0.579526329
-3.72974,0.554820624
-3.191592654,0.049979170
-3.171592654,0.0299955
-3.141592654,0.0
-3.111592654,-0.0299955
-3.091592654,-0.049979169
-2.3737,-0.694620808
-2.35619449,-0.707106781
-2.3437,-0.715886297
-2.3137,-0.736507537
-2.26704,-0.767256678
-2.23704,-0.786148757
-2.20704,-0.804333355
-2.06202,-0.881756306
-2.03202,-0.895508579
-2.00202,-0.908454956
-1.720796327,-0.988771078
-1.600796327,-0.999550034
-1.600796327,-0.999550034
-1.570796327,-1
-1.570796327,-1
-1.540796327,-0.999550034
-1.540796327,-0.999550034
-1.420796327,-0.988771078
-0.85593,-0.755180873
-0.82593,-0.735178522
-0.79593,-0.714514561
-0.785398163,-0.707106781
-0.74533,-0.678214353
-0.71763,-0.657601042
-0.71533,-0.655866562
-0.68763,-0.634707543
-0.68763,-0.634707543
-0.68533,-0.632928535
-0.658818,-0.612182653
-0.65763,-0.611242850
-0.628818,-0.588189258
-0.598818,-0.563666532
-0.03,-0.0299955
0.0,0.0
0.03,0.0299955
0.78539816339,0.70710678118
1.540796327,0.999550034
1.570796327,1
1.570796327,1
1.600796327,0.999550034
3.111592654,0.0299955
3.141592654,0.0
3.171592654,-0.0299955
Infinity,NaN
