-Infinity,NaN
-7.883981634,33.3233705
-7.853981634,-2.9433855E+7
-7.823981634,-33.323295
-7.068583471,-1.000000001
-6.333185307,-0.050041708
-6.313185307,-0.030009003
-6.283185307,0.0
-6.253185307,0.030009003
-6.233185307,0.050041709
-5.75166,0.587967790
-5.72725,0.621301513
-5.72166,0.629076424
-5.69725,0.663684677
-5.69166,0.671767015
-5.68438,0.682384379
-5.66725,0.707790399
-5.65438,0.727286519
-5.62438,0.774192383
-5.59786,0.817507255
-5.56786,0.868830920
-5.53786,0.922902530
-5.497787144,1.0
-4.74238898,33.323316920
-4.71238898,33.323332306
-4.71238898,-2599497067.761090000
-4.68238898,-33.323332306
-4.28117,-2.173453679
-4.25117,-2.012202437
-4.22117,-1.869316285
-4.07615,-1.353703511
-4.04615,-1.272020833
-4.01615,-1.196344861
-3.926990817,-1.0
-3.88359,-0.916758829
-3.85359,-0.863007607
-3.82359,-0.811970201
-3.78974,-0.757285185
-3.75974,-0.711115810
-3.72974,-0.666875760
-3.191592654,-0.050041709
-3.171592654,-0.030009004
-3.141592654,0
-3.111592654,0.030009003
-3.091592654,0.050041708
-2.3737,0.965587867
-2.35619449,1.0
-2.3437,1.025306489
-2.3137,1.088816667
-2.26704,1.196333452
-2.23704,1.272008547
-2.20704,1.353690219
-2.06202,1.869295194
-2.03202,2.012178744
-2.00202,2.173426819
-1.720796327,6.616591496
-1.600796327,33.3233327
-1.570796327,-75262354
-1.540796327,-33.3233327
-1.420796327,-6.616591515
-0.85593,-1.152039501
-0.82593,-1.084536386
-0.79593,-1.021288669
-0.785398163,-1.0
-0.74533,-0.922911220
-0.71763,-0.872883472
-0.71533,-0.868839156
-0.68763,-0.821359480
-0.68763,-0.821359480
-0.68533,-0.817515084
-0.658818,-0.774212683
-0.65763,-0.772314335
-0.628818,-0.727305926
-0.598818,-0.682402983
-0.03,-0.030009
0.0,0.0
0.03,0.030009
0.785398163,1
1.540796327,33.3233327
1.570796327,75262354
1.600796327,-33.3233327
2.35619449,-1
3.111592654,-0.030009003
3.141592654,0
3.171592654,0.030009004
Infinity,NaN
