-Infinity,NaN
-7.883981634,-2221.39393
-7.853981634,-1.73E+15
-7.823981634,-2221.383863
-6.313185307,-0.030923
-6.283185307,0
-6.253185307,0.029122
-5.72725,0.3454375
-5.69725,0.3560763
-5.66725,0.3661749
-4.71538898,0.4998875
-4.71238898,0.5
-4.68238898,0.4998875
-3.78974,0.3764461
-3.75974,0.3668988
-3.72974,0.356839
-3.171592654,0.029122
-3.141592654,0
-3.111592654,-0.030923
-2.3737,-2.2746173
-2.3437,-2.5197176
-2.3137,-2.795175
-1.600796327,-2221.392866
-1.570796327,-2.79E+15
-1.540796327,-2221.3849268
-0.71763,-1.9205696
-0.68763,-1.7375326
-0.65763,-1.5723
-0.03,-0.0309231
0
0.03,0.029122
Infinity,NaN
