-Infinity,NaN
-6.313185307,-32.3669731
-6.283185307,139283790
-6.253185307,34.3696586
-5.72725,3.87657733
-5.69725,3.8691734
-5.66725,3.8754132
-4.74238898,68.1617357
-4.71238898,-101961170
-4.68238898,-65.1615975
-3.78974,-0.1279823
-3.75974,0
-3.72974,0.1315238
-3.171592654,32.3086966
-3.141592654,21546983
-3.111592654,-34.3078991
-2.3737,-0.2841435
-2.3437,0
-2.3137,0.3113737
-1.600796327,2219.377865
-1.570796327,2.78556E+15
-1.540796327,2219.399928
-0.71763,0.1967817
-0.68763,0
-0.65763,-0.1837535
-0.03,-32.3669651
0,-9999
0.03,34.3696666
Infinity,NaN
